date,exercise,sets,reps,weight_kg
2024-01-03,Squat,4,8,80
2024-01-03,Bench Press,3,10,60
2024-01-03,Deadlift,3,5,100
2024-01-10,Squat,4,8,82.5
2024-01-10,Bench Press,3,10,62.5
2024-01-10,Deadlift,3,5,102.5
2024-01-17,Squat,4,8,85
2024-01-17,Bench Press,3,10,65
2024-01-17,Deadlift,3,5,105
2024-02-03,Squat,4,6,90
2024-02-03,Bench Press,4,8,67.5
2024-02-03,Deadlift,3,5,110
2024-02-10,Squat,4,6,92.5
2024-02-10,Bench Press,4,8,70
2024-02-10,Deadlift,3,5,112.5
2024-02-17,Squat,4,6,95
2024-02-17,Bench Press,4,8,72.5
2024-02-17,Deadlift,3,5,115
